,PaiNN_true_ES1,PaiNN_pred_ES1,SchNet_true_ES1,SchNet_pred_ES1,Equiformer_true_ES1,Equiformer_pred_ES1,SphereNet_true_ES1,SphereNet_pred_ES1,DimeNetPlusPlus_true_ES1,DimeNetPlusPlus_pred_ES1,DimeNet_true_ES1,DimeNet_pred_ES1
NYOYGKAASBWQKB-UHFFFAOYSA-N,3.412,2.8111215,3.412,2.8062475,3.412,2.8164995,3.412,2.8117936,3.412,2.8258147,3.412,2.9005654
LXUMWXBGQCLWLY-LOYCUKJKSA-N,2.102,2.8159323,2.102,2.8024914,2.102,2.8227248,2.102,2.8117945,2.102,2.8190308,2.102,3.115309
JNLHDWSGSNPTMV-RRJDLREHSA-N,2.596,2.8140266,2.596,2.8199468,2.596,2.8227105,2.596,2.811793,2.596,2.8086147,2.596,2.904201
MMNWLAUDPWAVKP-GRIHSIAFSA-N,2.816,2.812704,2.816,2.834077,2.816,2.816301,2.816,2.8117924,2.816,2.8293145,2.816,3.1872017
NHKCXHCYQNLOTB-UHFFFAOYSA-N,3.52,2.8156195,3.52,2.824556,3.52,2.8261197,3.52,2.8117945,3.52,2.8102138,3.52,2.863604
CFIDHNGPTDSWHY-NYGRQNOQSA-N,2.58,2.8132133,2.58,2.8086977,2.58,2.8184521,2.58,2.811793,2.58,2.8069997,2.58,2.9098458
BSHNDEBEXAAYFA-UHFFFAOYSA-N,2.652,2.8162503,2.652,2.8277214,2.652,2.8256123,2.652,2.8117933,2.652,2.7922378,2.652,2.9109383
DSHHHVHPHQZWME-UHFFFAOYSA-N,2.735,2.812429,2.735,2.820071,2.735,2.8176877,2.735,2.811793,2.735,2.8233824,2.735,2.855041
IGCPKOKVOIJVGJ-UHFFFAOYSA-N,2.772,2.8082838,2.772,2.7977989,2.772,2.8103943,2.772,2.8117933,2.772,2.8183665,2.772,2.8712053
JTYUDPDBLOXMHN-FBURTQAKSA-N,2.956,2.8111713,2.956,2.8149424,2.956,2.8176,2.956,2.8117929,2.956,2.831506,2.956,3.2602177
TYUVBJPCSYIJQP-UHFFFAOYSA-N,2.882,2.8128524,2.882,2.826075,2.882,2.8199356,2.882,2.811793,2.882,2.8065906,2.882,2.6722207
CVROBABOSSNUKJ-UHFFFAOYSA-N,3.409,2.821339,3.409,2.8184254,3.409,2.833113,3.409,2.8117929,3.409,2.8069327,3.409,2.8245673
PKCYYRRNRQHVEJ-TUJLBUANSA-N,2.906,2.8107278,2.906,2.8097389,2.906,2.8155305,2.906,2.8117926,2.906,2.812815,2.906,3.016967
HTLGDRKHJPJKOZ-UHFFFAOYSA-N,2.253,2.8230176,2.253,2.8133523,2.253,2.8328564,2.253,2.8117926,2.253,2.8173566,2.253,2.8000324
XYGMPUDPBYTTDZ-IRMGGYJLSA-N,2.728,2.8180716,2.728,2.830815,2.728,2.8284466,2.728,2.8117929,2.728,2.8191848,2.728,3.2393332
JGNPQPOZWOPCOK-UHFFFAOYSA-N,2.368,2.8113945,2.368,2.833101,2.368,2.8176517,2.368,2.8117929,2.368,2.8175983,2.368,2.8919911
UWMZQRHAGLLLPN-UPTXBOJGSA-N,2.403,2.8054929,2.403,2.7707026,2.403,2.813447,2.403,2.8117929,2.403,2.817934,2.403,2.8998828
IPMAJJIVHYITAM-UHFFFAOYSA-N,3.05,2.8133836,3.05,2.808512,3.05,2.8176181,3.05,2.8117933,3.05,2.834818,3.05,2.841996
AUPREGLRYGRCER-UHFFFAOYSA-N,2.395,2.8141212,2.395,2.8192532,2.395,2.8167398,2.395,2.8117929,2.395,2.8248744,2.395,2.9452393
WCABPZBFJWSQRB-ZLMIQDPGSA-N,2.855,2.8125253,2.855,2.8229506,2.855,2.819851,2.855,2.8117929,2.855,2.8141396,2.855,2.8415716
GNKMJFQUFQGGAT-FJQHFOHYSA-N,2.407,2.776442,2.407,2.8042905,2.407,2.7947981,2.407,2.8117929,2.407,2.8120923,2.407,2.831677
LIKDIJYOZIWMDT-UHFFFAOYSA-N,2.59,2.80794,2.59,2.8238232,2.59,2.810593,2.59,2.8117929,2.59,2.8071933,2.59,2.8736386
NRKWBABMIKOLEE-UHFFFAOYSA-N,2.488,2.8202202,2.488,2.8324094,2.488,2.8305233,2.488,2.811794,2.488,2.817544,2.488,2.761717
ZJWUXZAOOWCCKG-MOTUEPQMSA-N,3.201,2.8165522,3.201,2.8307278,3.201,2.8255386,3.201,2.8117929,3.201,2.8191457,3.201,3.2979572
CMJPMPMFXGSFBG-UHFFFAOYSA-N,2.785,2.8079958,2.785,2.8038313,2.785,2.811567,2.785,2.811793,2.785,2.8307962,2.785,2.8229299
QVYKACDUMFSHFM-UHFFFAOYSA-N,2.335,2.8124204,2.335,2.789706,2.335,2.8143852,2.335,2.8117938,2.335,2.821444,2.335,2.8460734
GWONLQWHMVSAKW-UHFFFAOYSA-N,2.121,2.8049707,2.121,2.8044038,2.121,2.809738,2.121,2.8117929,2.121,2.8143864,2.121,2.8525107
QMRYDVLMXCCDHE-UHFFFAOYSA-N,2.225,2.8205092,2.225,2.827725,2.225,2.8309906,2.225,2.8117938,2.225,2.7920294,2.225,2.9353783
WUBMRQMSFPKKDA-ATZKFVGWSA-N,2.772,2.8133624,2.772,2.8121774,2.772,2.8209667,2.772,2.8117926,2.772,2.8081856,2.772,2.663047
MFRXUVWBCLGLDT-UHFFFAOYSA-N,2.808,2.8184032,2.808,2.8246446,2.808,2.827147,2.808,2.8117933,2.808,2.8256512,2.808,2.8381853
DNYYNCYCKMSBAA-UHFFFAOYSA-N,2.567,2.8072357,2.567,2.8287134,2.567,2.8094168,2.567,2.8117929,2.567,2.8176174,2.567,2.6669774
SFAXXDFBVANXKO-UHFFFAOYSA-N,2.536,2.8081696,2.536,2.7918797,2.536,2.8117855,2.536,2.8117929,2.536,2.8286881,2.536,2.925617
HGJZCXWMHACYQN-WGOQTCKBSA-N,3.276,2.8140502,3.276,2.76689,3.276,2.8177433,3.276,2.8117938,3.276,2.811808,3.276,2.8397052
YCHFHXKAHFUWCX-YLYVUXRMSA-N,2.239,2.810432,2.239,2.8182638,2.239,2.8137689,2.239,2.8117926,2.239,2.8024378,2.239,2.696904
HBNKVKXFBDGQDW-IHIXOCNRSA-N,2.551,2.8187046,2.551,2.813281,2.551,2.8275568,2.551,2.8117938,2.551,2.8217664,2.551,2.8721044
YJSADDORNZFYFT-UHFFFAOYSA-N,2.488,2.796373,2.488,2.7865975,2.488,2.8023205,2.488,2.8117929,2.488,2.8150291,2.488,2.875618
DPGNAMHIIFUQEF-UHFFFAOYSA-N,2.69,2.7987432,2.69,2.7927346,2.69,2.7998526,2.69,2.8117929,2.69,2.8149712,2.69,2.7550685
MWSCFQHKGIZKCP-YEOLPZPCSA-N,3.29,2.8223102,3.29,2.8061235,3.29,2.8316875,3.29,2.8117926,3.29,2.817265,3.29,2.8221517
TVSJVKKFVCMMDJ-UHFFFAOYSA-N,2.913,2.8081632,2.913,2.8083534,2.913,2.813922,2.913,2.8117933,2.913,2.8277125,2.913,2.9233875
MJBZWPVTAIOEDX-MDVINBTASA-N,2.604,2.8041337,2.604,2.8159394,2.604,2.8102448,2.604,2.811793,2.604,2.8263292,2.604,2.6625383
RLRLTTOGDVVRJS-SWMWUFRBSA-N,2.97,2.8166904,2.97,2.7698627,2.97,2.8220255,2.97,2.8117924,2.97,2.8175204,2.97,2.7124505
PKECZMZOQFMVGE-ZMIAUQCWSA-N,1.963,2.8088865,1.963,2.7895825,1.963,2.8187153,1.963,2.8117924,1.963,2.8134518,1.963,2.9333186
DLJRIGHJTRHSEF-GPHBFVNTSA-N,2.934,2.8147957,2.934,2.824324,2.934,2.8211036,2.934,2.8117936,2.934,2.8178267,2.934,2.954041
LWFRGFLBVUXXTB-UHFFFAOYSA-N,2.802,2.800538,2.802,2.8058848,2.802,2.8048563,2.802,2.8117936,2.802,2.8188987,2.802,2.8496985
CBXVPHPEQNPFLS-BSVFOCEFSA-N,3.43,2.8166456,3.43,2.822642,3.43,2.8247967,3.43,2.811793,3.43,2.8178525,3.43,2.9925253
SIMRJPHEAHCFKF-UHFFFAOYSA-N,3.312,2.8032188,3.312,2.791227,3.312,2.8054724,3.312,2.8117929,3.312,2.813014,3.312,2.8807101
NQXPGCMZKPZVJY-GUDOWGHMSA-N,2.896,2.8086028,2.896,2.8011687,2.896,2.8126445,2.896,2.8117926,2.896,2.8170683,2.896,2.8245397
GSWGYMZWPCYOBW-UHFFFAOYSA-N,2.551,2.8062046,2.551,2.8139856,2.551,2.8104923,2.551,2.811793,2.551,2.8274045,2.551,2.7949488
QPALLPRROURZJW-PXGPTWEYSA-N,2.899,2.8198552,2.899,2.8157477,2.899,2.8290522,2.899,2.8117948,2.899,2.8160138,2.899,2.893675
COGPAIYDFSTJFR-RHKOWXKBSA-N,2.615,2.8163989,2.615,2.8048315,2.615,2.8286433,2.615,2.8117952,2.615,2.8195229,2.615,2.8339455
QZZMNLWHDUOLTE-UHFFFAOYSA-N,2.698,2.8085685,2.698,2.7915113,2.698,2.8114576,2.698,2.8117929,2.698,2.8122082,2.698,2.8365405
OWTRIAWERZYEPO-UHFFFAOYSA-N,3.242,2.8062308,3.242,2.7991984,3.242,2.808203,3.242,2.8117938,3.242,2.8269024,3.242,2.8442025
UVXKGUCQYZJNLM-UHFFFAOYSA-N,2.776,2.8199143,2.776,2.8171766,2.776,2.8297548,2.776,2.8117936,2.776,2.8189626,2.776,2.8235273
ZWVWUQFKHPLGDH-UHFFFAOYSA-N,3.631,2.8047643,3.631,2.821534,3.631,2.8098629,3.631,2.8117938,3.631,2.8212962,3.631,2.8624027
VYEZNZUDZGIOFK-UHFFFAOYSA-N,3.273,2.8172774,3.273,2.829734,3.273,2.8265576,3.273,2.8117936,3.273,2.8094683,3.273,2.8963742
WUIHMJZYVWERNB-UHFFFAOYSA-N,3.116,2.8041325,3.116,2.8226485,3.116,2.8067763,3.116,2.8117933,3.116,2.8319945,3.116,2.6515198
IQFFFKVCQNHLRA-FYYKANNSSA-N,2.305,2.8161912,2.305,2.8235235,2.305,2.8237994,2.305,2.8117933,2.305,2.7912712,2.305,2.9102442
AUNNPROMTGXLDO-UHFFFAOYSA-N,2.507,2.8111324,2.507,2.7985396,2.507,2.8156443,2.507,2.8117933,2.507,2.827736,2.507,2.8967707
HZGVDWQMRSIIMZ-UHFFFAOYSA-N,2.649,2.8188677,2.649,2.8135216,2.649,2.8291135,2.649,2.8117929,2.649,2.8165474,2.649,2.8896751
CXHKXAVEWLJFHR-OPAHXXORSA-N,3.225,2.819634,3.225,2.8223236,3.225,2.827963,3.225,2.8117929,3.225,2.8221073,3.225,3.4256647
IHTOSLFYVAFXQM-LVEJXTSKSA-N,2.953,2.8087802,2.953,2.81127,2.953,2.814596,2.953,2.8117929,2.953,2.8092055,2.953,3.0631666
