,SchNet_true_ES1,SchNet_pred_ES1,PaiNN_true_ES1,PaiNN_pred_ES1,Equiformer_true_ES1,Equiformer_pred_ES1,SphereNet_true_ES1,SphereNet_pred_ES1,DimeNetPlusPlus_true_ES1,DimeNetPlusPlus_pred_ES1,DimeNet_true_ES1,DimeNet_pred_ES1
CMXLJVOVJBDKOF-YRJKAGBCSA-N,2.866,2.9191892,2.866,2.9888294,2.866,2.8939614,2.866,2.9689903,2.866,2.987486,2.866,3.096348
QKXWSRFDUSCNQR-UHFFFAOYSA-N,2.814,2.6299746,2.814,2.8775227,2.814,2.9189925,2.814,2.7724967,2.814,2.9648914,2.814,2.6597648
CCLOYKVEOAXWTB-UHFFFAOYSA-N,3.311,3.1447694,3.311,3.3027077,3.311,3.3977354,3.311,3.4476507,3.311,3.2188902,3.311,3.1314135
OZEZZSCHSBPCJN-UHFFFAOYSA-N,3.41,3.1537695,3.41,3.1847765,3.41,3.4683838,3.41,3.5040824,3.41,3.2109454,3.41,3.0682108
FXXYQQBTVCEWGS-UHFFFAOYSA-N,3.013,3.0002923,3.013,2.9661543,3.013,2.9737196,3.013,2.9585276,3.013,2.956304,3.013,2.955987
FKFPWGFVJYBJLD-UHFFFAOYSA-N,2.168,2.4827435,2.168,2.684749,2.168,2.5466728,2.168,2.5009634,2.168,2.818077,2.168,2.5100532
YEBKQGMTAGBXLM-UHFFFAOYSA-N,3.232,3.0183017,3.232,3.154845,3.232,3.1390395,3.232,3.1714618,3.232,2.9796672,3.232,2.97331
PDOKSJIUIKWROF-QDTIIGTASA-N,2.474,2.477447,2.474,2.5230691,2.474,2.4318929,2.474,2.5821786,2.474,2.4840984,2.474,2.3374445
VUJBSVMFUQOVIF-JCZGSBGKSA-N,3.03,2.8765817,3.03,3.0194924,3.03,3.1537173,3.03,3.0239456,3.03,3.0371025,3.03,2.9325397
ZMJPDPGBTHGGJX-UHFFFAOYSA-N,3.075,3.1348925,3.075,3.006768,3.075,3.0303175,3.075,3.0294847,3.075,2.94725,3.075,2.8580728
PQAPUMASEVMGQH-ZHSUKTGHSA-N,2.675,2.6919992,2.675,2.5247657,2.675,2.573816,2.675,2.7780247,2.675,2.7601168,2.675,2.5973547
DXZUAYPECURMAP-UHFFFAOYSA-N,3.241,2.9575207,3.241,3.0559256,3.241,3.2448165,3.241,3.1160843,3.241,3.0243723,3.241,3.037611
GTTUECJROVOUIN-AIMOZCANSA-N,2.583,2.561817,2.583,2.5548062,2.583,2.7900116,2.583,2.6053936,2.583,2.8461385,2.583,2.7452068
UNQRVQLBGYMDBK-UHFFFAOYSA-N,2.025,2.029427,2.025,2.1109467,2.025,2.027732,2.025,2.1658604,2.025,2.035121,2.025,2.2563343
CCXXAHNJLPLCMQ-ZJPIGYMHSA-N,2.302,2.4017546,2.302,2.260327,2.302,2.4295578,2.302,2.3417351,2.302,2.4143975,2.302,2.317133
PKSLAKUQVXJAJF-UHFFFAOYSA-N,3.253,2.7083879,3.253,3.0241826,3.253,3.2455707,3.253,3.0823257,3.253,2.9823892,3.253,2.937569
